Options:
Model:                           Independent Contrasts
Tree File Name:                  marsupial_tree.tree
Data File Name:                  marsupials_variabledeltarate.txt
Log File Name:                   marsupials_variabledeltarate.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            128529448
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   20000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   marsupials_variabledeltarate.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  True
RJ Local OU:                     False
Using VarRates:                  True
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
        Delta - uniform 0.00 3.00 
Tree Information
     Trees:                      1
     Taxa:                       246
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	No RJ Local Branch	No RJ Local Node	No RJ Local Delta	
3300000	-67.171035	1	2.599029594976	1.779287702184	17	10	7	
3320000	-38.961030	1	1.287015890377	1.117489453562	27	12	8	
3340000	-55.345075	1	1.417209555273	1.899589171164	17	6	12	
3360000	-49.165082	1	1.078547551220	1.727935975993	18	13	15	
3380000	-43.332391	1	1.045755542371	2.421346815504	26	7	11	
3400000	-66.212571	1	2.447568507455	2.574457809507	16	5	13	
3420000	-64.933656	1	0.351141382761	1.860408818530	19	8	12	
3440000	-70.846617	1	1.856740786133	2.036325296433	17	10	14	
3460000	-43.390178	1	2.919267745129	1.664367672503	23	12	13	
3480000	-60.339699	1	3.051199023463	2.368551106851	15	8	11	
3500000	-44.795269	1	1.355030529678	1.425077284525	21	6	11	
3520000	-52.653133	1	2.090820393582	1.445517121640	22	7	19	
3540000	-59.219061	1	2.728878289224	1.210905665130	20	11	14	
3560000	-61.829192	1	2.283862602739	1.930710274669	15	8	12	
3580000	-52.347558	1	1.517126811411	1.902551104245	19	5	12	
3600000	-63.172680	1	2.909556862912	2.002349603543	25	6	18	
3620000	-61.114053	1	1.631146049221	1.692988565619	19	9	12	
3640000	-57.768225	1	1.979601140846	3.467576699921	18	12	12	
3660000	-54.549293	1	1.199064050507	1.240108202891	34	13	14	
3680000	-66.590565	1	2.712892593023	2.194423424529	13	7	17	
3700000	-58.488297	1	1.921421321908	1.604619410625	32	12	14	
3720000	-52.721054	1	1.010601987537	1.825653478024	23	14	13	
3740000	-59.533554	1	2.691068339428	1.742752863147	20	11	13	
3760000	-53.624144	1	1.451263613881	2.115394225706	18	14	11	
3780000	-48.243333	1	2.737490376394	2.359067643420	24	11	12	
3800000	-46.661947	1	2.522443956970	1.466702641883	17	11	11	
3820000	-62.468009	1	2.855271102190	1.654530685084	19	8	12	
3840000	-58.084692	1	2.791651185102	1.322340313714	16	14	14	
3860000	-51.036182	1	1.565298264997	2.395772844468	14	11	10	
3880000	-49.727365	1	2.573937167643	2.963702421059	27	10	11	
3900000	-44.832795	1	1.720308904381	2.624107180072	22	12	8	
3920000	-47.617622	1	2.339331805356	2.206313137620	19	4	18	
3940000	-36.363728	1	1.774557932160	1.555884526513	30	9	18	
3960000	-53.906124	1	1.800033929736	2.257910772025	19	7	16	
3980000	-58.398741	1	2.048165529840	2.543687347474	21	12	13	
4000000	-50.235116	1	2.781323915909	4.255718039148	15	10	12	
4020000	-68.327304	1	0.753184776665	2.278971681258	17	9	15	
4040000	-69.154406	1	1.016199475131	1.876749614688	23	11	11	
4060000	-51.753989	1	3.926286652395	1.478106269235	26	10	16	
4080000	-41.036341	1	2.813267561200	1.863284647083	23	8	14	
4100000	-51.368325	1	2.100930297250	3.256655620965	18	15	18	
4120000	-51.662826	1	1.304076118301	2.009657081343	21	7	15	
4140000	-56.125478	1	1.558960824980	1.776569108968	17	9	11	
4160000	-47.248397	1	1.112691351279	1.547500074263	21	11	11	
4180000	-54.057066	1	1.167945001329	1.872762825427	14	12	16	
4200000	-56.085307	1	1.429057464029	2.717472876750	24	9	16	
4220000	-54.409441	1	1.496627770548	1.510053838444	30	12	17	
4240000	-63.902341	1	0.950052966495	1.507530019838	16	13	14	
4260000	-58.318484	1	1.214370749490	1.316014694678	15	8	15	
4280000	-57.271552	1	1.572960207091	2.668231927880	18	8	12	
4300000	-59.467231	1	0.520313796707	1.915427980824	27	8	5	
4320000	-48.981285	1	2.984157636564	2.313079702304	23	13	7	
4340000	-59.692511	1	2.090837158712	2.285757654951	24	8	13	
4360000	-42.012753	1	1.337036940759	1.879923281831	19	13	8	
4380000	-58.541387	1	2.038910625663	1.980806380805	17	11	10	
4400000	-57.345656	1	0.346399548461	2.990553289863	20	4	14	
4420000	-52.034723	1	2.283873881616	1.369563078229	17	11	10	
4440000	-51.199128	1	2.344581106984	1.203568426630	26	12	16	
4460000	-55.543742	1	2.608172038867	1.570724972152	21	15	12	
4480000	-50.748292	1	1.357804188950	1.815784357148	18	10	16	
4500000	-68.580754	1	1.878325034330	2.013994143729	23	10	13	
4520000	-67.173225	1	-1.017665919145	3.241936071398	29	8	8	
4540000	-69.085343	1	3.584705339639	2.486878668184	17	7	5	
4560000	-48.921762	1	1.718495554123	1.524348445322	22	8	16	
4580000	-68.105093	1	1.740583198388	1.665033369865	22	8	8	
4600000	-57.434001	1	1.084089452997	1.631032830390	20	14	12	
4620000	-57.991623	1	-0.446480407285	1.456534379155	21	6	17	
4640000	-49.360968	1	1.110111429059	1.935430315668	25	8	19	
4660000	-57.744544	1	3.191522727239	2.194028189789	21	8	18	
4680000	-64.146810	1	1.980599310374	1.636482463608	21	8	12	
4700000	-59.808410	1	-0.276771149132	2.165017698751	23	9	16	
4720000	-55.271579	1	0.296871512274	1.594916037960	19	9	18	
4740000	-43.919269	1	2.370389567689	1.878485893766	19	8	18	
4760000	-60.287886	1	3.428013815997	1.176653476532	15	13	19	
4780000	-59.912121	1	0.705570166683	1.766337949236	25	9	18	
4800000	-51.155877	1	1.755609056186	1.738696519738	19	11	13	
4820000	-55.896738	1	2.450716198407	1.382272205351	11	12	15	
4840000	-48.020765	1	2.599721292379	1.895097539333	22	16	14	
4860000	-48.634080	1	2.217917796804	2.364332359576	21	7	15	
4880000	-55.191117	1	1.697425292326	1.648907741052	15	9	14	
4900000	-56.251483	1	1.675945860931	2.239144377718	22	6	16	
4920000	-55.120282	1	2.309459970629	1.566338545160	16	8	13	
4940000	-57.223162	1	0.989496707844	0.972111903176	22	12	9	
4960000	-44.290525	1	2.016716512720	1.588769714005	19	13	15	
4980000	-60.664413	1	2.040777919336	1.600378111331	26	11	9	
5000000	-55.512551	1	1.555363302359	1.121797935202	20	7	13	
5020000	-63.655679	1	2.472592557191	1.822010631940	17	20	14	
5040000	-61.985350	1	3.627095603020	1.345792047262	21	10	14	
5060000	-65.704878	1	1.831206015850	1.105965925413	17	12	13	
5080000	-52.550361	1	0.383503145579	1.325901698823	17	11	15	
5100000	-60.417790	1	1.976797460369	1.372064768661	16	14	12	
5120000	-61.794057	1	1.445115643831	1.755978149921	19	4	11	
5140000	-66.083096	1	-0.250908495494	1.303606554229	19	11	12	
5160000	-50.104685	1	1.528876495081	1.963909710083	16	5	17	
5180000	-50.968806	1	2.460530378205	2.126512496658	22	8	15	
5200000	-55.856086	1	1.409038010728	2.170259346591	24	10	14	
5220000	-65.606595	1	0.343806303838	1.727768518964	12	10	14	
5240000	-57.000720	1	2.348500006524	1.744323024161	18	7	9	
